epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,3132.76,0.72979,0.40595,0.939,0.94762,0.9587,0.96531,0.79086,0.70387,0.40039,0.90558,0.000297279,0.000297279,0.000297279
89,3153.94,0.74193,0.41175,0.9436,0.9441,0.94995,0.96243,0.78238,0.72814,0.4098,0.91331,0.000295903,0.000295903,0.000295903
90,3177.37,0.72638,0.40017,0.92968,0.95375,0.9402,0.96009,0.78709,0.70159,0.41016,0.90668,0.000294527,0.000294527,0.000294527
91,3200.33,0.75157,0.41947,0.94583,0.94776,0.95817,0.96665,0.78896,0.70362,0.41336,0.90384,0.000293151,0.000293151,0.000293151
92,3230.9,0.74505,0.4113,0.94027,0.94906,0.95852,0.96736,0.79964,0.69014,0.40374,0.8988,0.000291775,0.000291775,0.000291775
93,3256.24,0.73533,0.40991,0.94162,0.94273,0.95739,0.96262,0.79529,0.6778,0.40382,0.89499,0.000290399,0.000290399,0.000290399
94,3276.5,0.71067,0.38226,0.93088,0.96227,0.9482,0.9676,0.79685,0.69555,0.40047,0.8992,0.000289023,0.000289023,0.000289023
95,3300.4,0.73471,0.39923,0.94021,0.95124,0.95311,0.96444,0.79544,0.73821,0.4191,0.92037,0.000287647,0.000287647,0.000287647
96,3322.24,0.7312,0.40562,0.93574,0.94606,0.95785,0.96365,0.78422,0.73989,0.41474,0.91612,0.00028627,0.00028627,0.00028627
97,3346.28,0.72972,0.40064,0.93579,0.94629,0.95521,0.96504,0.79615,0.69397,0.38865,0.89903,0.000284894,0.000284894,0.000284894
98,3373.01,0.71993,0.39375,0.93245,0.93584,0.96415,0.9657,0.80137,0.66505,0.3933,0.88674,0.000283518,0.000283518,0.000283518
99,3456.23,0.7172,0.39486,0.9332,0.95067,0.96038,0.96954,0.79934,0.70229,0.38966,0.89996,0.000282142,0.000282142,0.000282142
100,3502.23,0.71995,0.39296,0.9244,0.95705,0.95274,0.96657,0.79747,0.68425,0.39061,0.89291,0.000280766,0.000280766,0.000280766
101,3527.96,0.73728,0.40995,0.94197,0.9473,0.95107,0.96307,0.78781,0.70233,0.39846,0.90208,0.00027939,0.00027939,0.00027939
102,3555.77,0.71986,0.39727,0.9301,0.94636,0.96063,0.96485,0.78245,0.7486,0.4078,0.91528,0.000278014,0.000278014,0.000278014
103,3579.29,0.73348,0.39616,0.93224,0.94018,0.95934,0.96582,0.79529,0.69158,0.40649,0.90318,0.000276638,0.000276638,0.000276638
104,3607.8,0.71811,0.39135,0.93558,0.94933,0.9609,0.96882,0.79875,0.71128,0.40596,0.9047,0.000275262,0.000275262,0.000275262
105,3655.05,0.72636,0.39976,0.92956,0.9455,0.95816,0.96802,0.79356,0.6898,0.3953,0.90145,0.000273886,0.000273886,0.000273886
106,3680.98,0.71433,0.38984,0.92374,0.95057,0.95197,0.96599,0.78769,0.7044,0.40572,0.90234,0.000272509,0.000272509,0.000272509
107,3705.83,0.71489,0.38771,0.92838,0.9441,0.96106,0.9632,0.79621,0.67028,0.39139,0.89315,0.000271133,0.000271133,0.000271133
108,3727.56,0.70823,0.37888,0.93535,0.94936,0.95915,0.96864,0.79799,0.69626,0.39527,0.89726,0.000269757,0.000269757,0.000269757
109,3748.69,0.7065,0.38412,0.93181,0.94799,0.96063,0.97048,0.79451,0.71244,0.39361,0.90934,0.000268381,0.000268381,0.000268381
110,3816.8,0.68859,0.37704,0.91767,0.93949,0.96594,0.96759,0.80175,0.70256,0.3938,0.90389,0.000267005,0.000267005,0.000267005
111,3963.32,0.71344,0.39422,0.93009,0.94779,0.95733,0.96822,0.79878,0.69962,0.40349,0.90181,0.000265629,0.000265629,0.000265629
112,4003.25,0.70886,0.39597,0.92954,0.9563,0.94459,0.9677,0.79914,0.68281,0.40179,0.89687,0.000264253,0.000264253,0.000264253
113,4034.6,0.71388,0.38101,0.92374,0.94708,0.95514,0.96563,0.79824,0.66691,0.39117,0.89097,0.000262877,0.000262877,0.000262877
114,4056.9,0.71673,0.38492,0.93018,0.95135,0.95741,0.96469,0.78978,0.68534,0.38852,0.89595,0.000261501,0.000261501,0.000261501
115,4079.29,0.72097,0.38755,0.93431,0.94074,0.95661,0.96459,0.80257,0.67847,0.40095,0.89353,0.000260125,0.000260125,0.000260125
116,4110.92,0.70456,0.37743,0.92536,0.94371,0.95466,0.9659,0.79983,0.66743,0.39986,0.89156,0.000258749,0.000258749,0.000258749
